72,USA,Great Divide Brewing Company,Hercules Double IPA,2008-09-05
73,USA,Michigan Brewing Co,Summer Ale,2008-06-04
74,USA,Michigan Brewing Co,High Seas,2008-06-04
75,Belgien,Brasserie Lefebvre,Floreffe Blond,2009-02-04
76,Belgien,Brasserie Lefebvre,Floreffe Double,2009-02-04
77,Belgien,Brouwerij Rodenbach _Palm_,Rodenbach Grand Cru,2009-05-06
78,Belgien,Palm Breweries,Steenbrugge Blond,2009-04-01
79,Belgien,Palm Breweries,Steenbrugge Dubbel Bruin,2009-04-01
80,Japan,Kirin Beer,Kirin Ichiban,2009-01-07
81,Skottland,Inveralmond Brewery,Ossian,2009-11-04
82,Skottland,Inveralmond Brewery,Lia Fail,2009-11-04
83,Skottland,Belhaven,Wee Heavey,2009-09-02
84,Skottland,Belhaven,Twisted Thistle IPA,2009-09-02
85,Slovakien,Zlatý Bažant,Zlatý Bažant,2009-08-05
86,Storbritanien,Hook Norton Brewery,Old Hooky,2009-10-07
87,Storbritanien,Hook Norton Brewery,Twelve Days,2009-10-07
88,Sverige,Jämtlands bryggeri,Jämtlands India Pale Ale,2009-01-07
89,Sverige,Närke Kulturbryggeri,Närke Mörker,2009-12-02
90,Sverige,Sigtuna Brygghus,HUMLE-HILDAS ALTBIER,2009-05-06
91,Tyskland,Einbecker Brauhause,Einbecker Brauherren Pils,2009-03-04
92,USA,Anchor Brewing Company,Liberty Ale,2009-06-03
93,USA,Anchor Brewing Company,Anchor Steam,2009-06-03
94,USA,Sierra Nevada Brewing,Pale Ale,2009-07-01
95,USA,Boston Beer Company _Samuel Adams_,Samuel Adams Winter Lager,2009-12-02
96,USA,Flying dog,Tire Bite Golden Ale,2009-07-01
97,USA,Flying dog,Old Scratch Amber Lager,2009-03-04
98,Belgien,Brasserie Du Bocq,St.Benoit Blond,2010-09-01
99,Skottland,BrewDog,Punk Ipa,2010-09-01
100,Skottland,Innis & Gunn,Original,2010-07-07
101,Sverige,Carlsberg Sverige,Eriksberg Julöl,2010-12-01
102,Sverige,Jämtlands bryggeri,Hell,2010-07-07
103,Sverige,Nynäshamns Ångbryggeri AB,Mysingen Midvinterbrygd,2010-04-07
104,Sverige,Nynäshamns Ångbryggeri AB,Landsort lager,2010-11-03
105,Sverige,Sandbacka bryggeri,Sandbacka bitter,2010-05-05
106,Sverige,Skebo Bruksbryggeri,USB _UteSittarBärs_,2010-08-04
107,Sverige,Spendrups,SITTING BULLDOG IPA,2010-04-07
108,Sverige,Spendrups,Wisby Sleepy Bulldog Winter Ale,2010-12-01
109,Sverige,Zeunerts Bryggeri _Kopparberg_,Zeunerts Höga Kusten,2010-08-04
110,Tjeckien,Zlatopramen _Drinks Union_,Half n Half _nr 1604_,2010-11-03
111,USA,Victory Brewing,Prima Pils,2010-05-05
112,USA,Sixpoint Brewery,Sixpoint Bengali Tiger IPA,2012-11-07
113,USA,Sixpoint Brewery,Sixpoint Righteous Ale,2012-11-07
114,Danmark,Mikkeller,Kärlek vår_sommar 2013,2013-05-01
115,Danmark,Mikkeller,Beer Geek Breakfast,2013-04-03
116,Danmark,Bear Here,Dead Cat,2013-04-03
117,Kanada,Flying Monkeys Craft Brewery,Hoptical Illusion,2013-01-02
118,Skottland,Williams Brothers _Heather Ales_,Alba,2013-07-03
119,Storbritanien,Summer Vine Brewing,Gorilla,2013-01-02
120,Sverige,Nils Oscar,Hope Yard,2013-07-03
121,USA,Ska Brewing co,Modus Hoperandi,2013-02-06
122,USA,Ska Brewing co,ESB Special Ale,2013-02-06
123,USA,Napa Smith,Hopa Geddon,2013-08-07
124,USA,Napa Smith,Amber Ale,2013-08-07
125,USA,Six Point Brewery,The Crisp,2013-05-01
126,USA,Tommy Knocker Brewery,Pick Axe IPA,2013-09-04
127,USA,Lagunita Brewing Co,Lagunita IPA,2013-09-04
